,count,dataset,percentage
C19,191,train,1.8307294162752803
C01,423,train,4.054442633949966
C23,1799,train,17.243362407744655
C02,158,train,1.514425381002588
C06,588,train,5.635962810313429
C18,388,train,3.718968657145596
C21,546,train,5.233394038148184
C20,525,train,5.032109652065561
C17,295,train,2.827566375922553
C14,1249,train,11.971628486533117
C16,200,train,1.916994153167833
C12,491,train,4.706220646027029
C04,1163,train,11.147321000670948
C11,162,train,1.5527652640659446
C10,621,train,5.952266845586121
C15,215,train,2.06076871465542
C07,100,train,0.9584970765839165
C08,473,train,4.533691172241925
C05,283,train,2.7125467267324836
C22,92,train,0.8818173104572032
C13,281,train,2.693376785200805
C09,125,train,1.1981213457298956
C03,65,train,0.6230230997795456
